Transaction ID,date,Customer ID,Gender,Age,Product Category,sales,price,Total Amount,year,month,day,day_of_week,is_weekend,price_diff,price_change_pct,rolling_mean_7,rolling_std_7,sales_lag_1,customer_segment
1,2023-11-24,0,1,0.34782608695652173,0,0.6666666666666667,0.05263157894736842,150,2023,11,24,4,0,0.5,0.04761904761904762,0.0,0.0,0.0,1
2,2023-02-27,1,0,0.17391304347826086,1,0.3333333333333333,1.0,1000,2023,2,27,0,0,0.9736842105263157,0.4987468671679198,0.0,0.0,0.75,0
3,2023-01-13,2,1,0.6956521739130435,2,0.0,0.01052631578947369,30,2023,1,13,4,0,0.0052631578947368585,0.0005012531328320857,0.0,0.0,0.5,2
4,2023-05-21,3,1,0.4130434782608696,1,0.0,1.0,500,2023,5,21,6,1,0.9947368421052631,0.8329156223893068,0.0,0.0,0.25,1
5,2023-05-06,4,1,0.26086956521739135,0,0.3333333333333333,0.05263157894736842,100,2023,5,6,5,1,0.026315789473684237,0.002506265664160401,0.0,0.0,0.25,1
6,2023-04-25,5,0,0.5869565217391305,0,0.0,0.01052631578947369,30,2023,4,25,1,0,0.4789473684210526,0.027568922305764413,0.0,0.0,0.5,2
7,2023-03-13,6,1,0.6086956521739131,1,0.3333333333333333,0.0,50,2023,3,13,0,0,0.49473684210526314,0.039264828738512954,0.4615384615384615,0.4714045207910311,0.25,2
8,2023-02-22,7,1,0.26086956521739135,2,1.0,0.0,100,2023,2,22,2,0,0.5,0.04761904761904762,0.5,0.6666666666666657,0.5,1
9,2023-12-13,8,1,0.9782608695652173,2,0.3333333333333333,0.5789473684210527,600,2023,12,13,2,0,0.7894736842105263,0.598997493734336,0.5,0.6666666666666657,1.0,3
10,2023-10-07,9,0,0.7391304347826086,1,1.0,0.05263157894736842,200,2023,10,7,5,1,0.2368421052631579,0.005847953216374269,0.6153846153846153,0.7817359599705705,0.5,2
11,2023-02-14,10,1,0.10869565217391308,1,0.3333333333333333,0.05263157894736842,100,2023,2,14,1,0,0.5,0.04761904761904762,0.6538461538461537,0.7071067811865465,1.0,0
12,2023-10-30,11,1,0.3695652173913043,0,0.6666666666666667,0.0,75,2023,10,30,0,0,0.4736842105263158,0.02255639097744361,0.6923076923076923,0.7071067811865465,0.5,1
13,2023-08-05,12,1,0.08695652173913049,2,0.6666666666666667,1.0,1500,2023,8,5,5,1,1.0,1.0,0.7692307692307692,0.5610836076867812,0.75,0
14,2023-01-17,13,1,1.0,1,1.0,0.01052631578947369,120,2023,1,17,1,0,0.0052631578947368585,0.0005012531328320857,0.8461538461538461,0.5610836076867812,0.75,3
